file,title,level,text,page
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,Revision History ,2
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,Table of Contents ,3
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,Acknowledgements ,4
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,1. Introduction to the Foundation Level Extensions ,5
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,2. Introduction to Foundation Level Agile Tester Extension ,6
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.1 Intended Audience ,6
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.2 Career Paths for Testers ,6
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.3 Learning Objectives ,6
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.4 Entry Requirements ,7
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.5 Structure and Course Duration ,7
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,2.6 Keeping It Current ,8
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,3. Overview of the Foundation Level Extension – Agile TesterSyllabus ,9
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,3.1 Business Outcomes ,9
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,3.2 Content ,9
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H1,4. References ,11
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,4.1 Trademarks ,11
E0CCG5S312.json,Overview  Foundation Level Extensions  ,H2,4.2 Documents and Web Sites ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H1,Ontario’s Digital Library ,1
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H1,A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy ,1
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Summary ,1
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Timeline: ,1
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Background ,2
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Equitable access for all Ontarians: ,3
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Shared decision-making and accountability: ,3
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Shared governance structure: ,3
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Shared funding: ,3
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Local points of entry: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Access: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Guidance and Advice: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Training: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Provincial Purchasing & Licensing: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Technological Support: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,What could the ODL really mean? ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H4,For each Ontario citizen it could mean: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H4,For each Ontario student it could mean: ,4
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H4,For each Ontario library it could mean: ,5
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H4,For the Ontario government it could mean: ,5
